题目：,考核点：,难度：,试题解析：,正确答案,答案A,答案B,答案C,答案D,答案E
陈大爷经朋友介绍，了解到一个以公司名义向社会公开发行的定期固定收益理财产品，收益比存银行要高多了，张大爷应该投资购买吗？,反诈防骗,易,投资理财需谨慎,B,可以先买一万元试试，赚点利息,一元都不能买,,,
诚实信用作为保险代理人员应当遵守的职业道德原则，其要求保险代理人员对（）,适当性原则,易,无,D,保险人做到诚实信用,投保人做到诚实信用,被保险人做到诚实信用,保险人、投保人及被保险人同时做到诚实信用,
出于支付安全的角度，下列哪一项做法是错误的(）,金融基础知识,易,向他人提供付款码截图可能导致财产损失,D,即便银行卡里没有钱，也不出售个人银行卡,确认是朋友本人后才进行支付转账,不在不明网站填写银行卡号,朋友找我要付款码截图，我发给他,
出租或出借自己的身份证、银行卡，可能会产生以下哪个后果（）,个人信息保护,易,出租或出借自己的身份证、银行卡，可能会使他人盗用您的名义从事非法活动，或面临刑事处罚、影响个人征信等不良后果。,B,可以获得更好的收益,他人盗用您的名义从事非法活动,提高自己在多家银行的信用额度,完全没影响,
处理消费者个人信息应当具有明确、合理的目的，并应当与处理目的直接相关，采取对消费者个人权益影响（ ）的方式收集个人信息。,个人信息保护,易,"《个人信息保护法》规定,处理个人信息应当具有明确、合理的目的,并应当与处理目的直接相关,采取对个人权益影响最小的方式。",A,最小,最大,逐级,动态,
传统保险产品在家庭资产配置中的作业不包括？,金融基础知识,易,无,A,博取高额收益,保障人身安全,财富传承,养老保障,
大学生对校园贷应持什么态度？(),反诈防骗,易,非法校园贷,C,无所谓,狂热追捧,理性拒绝,,
大学生求职签合同时，合同一般应包括以下主要事项()。,反诈防骗,易,大学生求职签合同时，合同一般应包括以下主要事项：具体工作时间、确定的薪酬数额、薪酬支付时间等。,D,具体工作时间,确定的薪酬数额,薪酬支付时间,以上都是,
大学生易受虚假招聘信息诈骗，下列选项中不属于该项诈骗的是（）,反诈防骗,易,诈骗分子套路多，金融消费者需提高警惕，谨防诈骗,C,以招聘业务员为名发布高薪日结广告,事主依据广告信息联系被强制要求收取介绍费,收取正当合理的中介费并安排工作,要求事主先汇款作为代理商的成本,
大学生在接到类似诈骗的短信后不应该（）,反诈防骗,易,诈骗分子套路多，金融消费者需提高警惕，谨防诈骗,B,联系学校老师,联系发信人,向公安机关报案,联系父母,
当接到快递电话，称你购买的物品丢失，需要给你补偿时，正确的做法是(),反诈防骗,易,金融诈骗,C,按照对方的步骤进行理赔,添加对方的微信进行理赔,先跟电商平台或快递公司核实,,
当你接到电话或收到短信称你的银行卡在异地有消费记录，如有疑问请拨打某电话查询时，以下不可取的是(),金融基础知识,易,金融基础知识,B,拨打所属银行官方号码咨询,立刻回拨短信中的电话,拨打110,,
当你接到一个自称是银行工作人员的电话，要求你提供银行卡号和密码时，你应该怎么做？,反诈防骗,易,当接到自称是银行工作人员的电话，要求提供银行卡号和密码时，应高度警惕。银行工作人员通常不会主动要求客户提供敏感信息，特别是通过电话。正确的做法是挂断电话并报警，以确保个人信息安全。,C,立即提供信息,询问更多细节,挂断电话并报警,告知对方稍后再联系,
当你在网上购买游戏点卡，对方称点卡购买超时，需要重新下单，以下做法正确的是？(),反诈防骗,易,金融诈骗,C,按对方要求直接操作购买,联系购买方继续确认,停止付款，立即报警,,
当你在网站上查找租房信息并看上合适的房源，以下不可取的是（),金融基础知识,易,金融基础知识,B,实地看房核实,电话联系后通过微信交付押金,签订正规租房合同,,
当您刚刚买完车，就接到了购车退税好消息的，您会怎么做？〔 〕,反诈防骗,易,遇到疑似电信诈骗时，不要盲目轻信，要多作调查印证。,C,赶紧交手续费领钱,向周围亲友咨询是否有此政策,找有关部门核实一下情况,,
当您接到电话，称您的号码涉案，让您按指示将钱款转移到平安账户，您会怎么办？〔〕,反诈防骗,易,不要盲目轻信，要多作调查印证。,C,即刻与其联络，按照指定步骤汇款,对该短信置之不理,对该短信置之不理，同时告诫周围好友注意防范,,
当消费者遇到“保险拒赔”的情况时，以下哪个做法是不正确的？,金融基础知识,易,面对保险拒赔，消费者应了解拒赔原因，查阅合同条款，如有必要可寻求法律帮助，而非直接接受结果。,C,详细了解拒赔原因,查阅保险合同和相关法律条款,立即接受拒赔结果，不进行任何申诉,如有必要，寻求专业法律人士的帮助,
当有朋友突然通过QQ向你借钱时，正确的做法是（）。,金融基础知识,易,换途径与朋友联系，询问求证,A,换途径与朋友联系，询问求证,朋友有困难，赶紧汇款帮忙,通过QQ聊天继续询问详情,通过其他朋友侧面打听,
当有人向你提出有偿使用你的收款二维码时，你应该（）,反诈防骗,易,出借收款二维码给他人获利，极易造成收款码被用于违法活动特别是涉及洗钱类案件，遇到有人提出支付报酬使用你的收款二维码应果断拒绝！,C,进行讨价还价,顺利达成交易,果断拒绝提议,,
当遇到可疑陌生电话、短信或者网络信息时，应（）,反诈防骗,易,不要轻信电话、短信、QQ、微信中的所谓退款、贷款验资、司法协查、商品退款、积分兑换、中奖退税等信息。遇到冒充公检法的电话、短信应该立即报警，不要向陌生人转账或汇款。,D,不予理睬,不转账、不汇款,向公安机关举报,以上都对,
"电信网络诈骗，是指以非法占有为目的，利用电话、短信、互联网等电信网络技术手段，通过远程、非接触方式，骗取（）的行为。
",金融基础知识,易,公私财物 ,B,个人存款 ,公私财物 ,个人信任,公司信任,
电信网络诈骗无孔不入，需要随时保持警惕，以下几点不属于良好的移动支付习惯是？,反诈防骗,易,接到熟人通过短信、微信、微博、QQ、邮件、语音等形式发送的转账请求，或询问银行卡、网银密码等重要信息时，要通过电话核实确认,A,接到熟人通过短信、微信、微博、QQ、邮件、语音等形式发送的转账请求，或询问银行卡、网银密码等重要信息时，立刻放心转账,如确需向对方转账，应尽量选择次日到账方式并于事后再次核实，如有异常及时申请撤销,避免在与移动支付软件绑定的银行卡中存放过多资金以便分散和锁定风险,陌生人或长期失联的“熟人”要求汇款时，须保持谨慎多方求证，遇到可疑情况及时向公安机关、银行、电信运营商等机构咨询,
发现可能已经被诈骗以下哪个行为不能做？,反诈防骗,易,不可等待，应立即做出补救措施,B,立即报警,等待后续进展,前往银行锁定个人账户,将金额转至另一安全账户,
防范金融诈骗的小知识包括,反诈防骗,易,防范金融诈骗需保护个人信息、警惕陌生来电、谨慎网络交友等,D,保护个人信息,警惕陌生来电,谨慎网络交友,以上都是,
非法校园贷的特征有哪些？,反诈防骗,易,非法校园贷的特征有贷款金额小，借贷周期不长，以月结为主；无担保物，无需提供担保，无连带担保责任人；利息明显高于正常利率,D,贷款金额小，借贷周期不长，以月结为主,无担保物，无需提供担保，无连带担保责任人,利息明显高于正常利率,以上都对,
"服务价格应遵循()原则，各项服务必须“明码标价”,充分履行告知义务，使客户明确了解服务内容、方式、功能、效果，以及对应的收费标准，确保客户了解充分信息，自主选择。",金融基础知识,易,"服务价格应遵循公开透明原则，各项服务必须“明码标价”,充分履行告知义务，使客户明确了解服务内容、方式、功能、效果，以及对应的收费标准，确保客户了解充分信息，自主选择。",C,合规收费,以质定价,公开透明,"减费让利
",
个人敏感信息包括下列哪些内容？,金融基础知识,易,个人敏感信息包括生物识别、宗教信仰、特定身份、医疗健康、金融账户、行踪轨迹、不满十四周岁未成年人的个人信息等,D,生物识别、宗教信仰、特定身份,医疗健康、金融账户、行踪轨迹,不满十四周岁未成年人的个人信息,以上都是,
个人信息保护中，以下哪项行为属于侵犯个人金融信息？,个人信息保护,易,未经消费者同意，向他人透露消费者金融信息属于侵犯个人金融信息。,A,未经消费者同意，向他人透露消费者金融信息,经消费者同意，在金融机构内部使用消费者金融信息,向消费者提供金融产品和服务,对消费者的金融信息进行加密处理,
个人信用报告信息包括（  ）,金融基础知识,易,信贷信息,B,个人存款记录,信贷信息,个人销户记录,个人取款记录,
根据《中华人民共和国个人信息保护法》，个人信息处理者处理个人信息时，应当遵循的原则是（）？,个人信息保护,易,《中华人民共和国个人信息保护法》规定，个人信息处理者处理个人信息时，应当遵循合法、正当、必要和诚信原则，不得通过误导、欺诈、胁迫等方式处理个人信息。过度收集、非法买卖和随意泄露都是违反个人信息保护法的行为。,C,过度收集,非法买卖,合法、正当、必要和诚信,随意泄露,误导获得
根据法律规定，个人信息处理者不得过度收集个人信息，下列关于个人信息收集范围的说法，正确的是（）,个人信息保护,易,《中华人民共和国个人信息保护法》第六条：处理个人信息应当具有明确、合理的目的，并应当与处理目的直接相关，采取对个人权益影响最小的方式；收集个人信息，应当限于实现处理目的的最小范围，不得过度收集个人信息。,A,实现处理目的的最小范围,个人全部信息,个人及其家庭的全部信息,个人朋友的信息,个人其他信息
根据合同内容的不同，保险条款可以分为基本条款和(  )。,金融基础知识,易,根据合同内容的不同，保险条款可以分为基本条款和附加条款,A,附加条款,法定条款,任选条款,批注,
工作人员告诉张阿姨：“消费者应妥善保管银行卡，为了确保资金安全，不要将卡片与（）一起存放。,个人信息保护,易,无,A,身份证件,现金,钥匙,磁卡,
公平、公正制定格式合同条款及服务协议文本，不设置违反公平原则的交易条件，这属于保障消费者的（  ）权益。,金融消费者八项权益,易,公平、公正制定格式合同条款及服务协议文本，不设置违反公平原则的交易条件，这属于保障消费者的公平交易权。,B,自主选择权,公平交易权,知情权,受尊重权,
关于处理个人信息，下列说法错误的是____。,个人信息保护,易,银行保险机构不得通过误导、欺诈、胁迫等方式处理个人信息,D,应当保证个人信息的质量,应当采取对个人权益影响最小的方式,应当遵循合法、正当、必要和诚信原则,通过误导、欺诈、胁迫等方式处理个人信息,
关于借记卡，以下哪种说法是正确的（  ）,金融基础知识,易,"《银行卡业务管理办法》第七条 借记卡按功能不同分为转账卡（含储蓄卡，下同）、
专用卡、储值卡。借记卡不具备透支功能。",C,可以透支,可以部分透支,不能透支,,
关于提高对电信网络诈骗的认识，下列说法错误的是,反诈防骗,易,诈骗分子套路多，金融消费者需提高警惕，谨防诈骗。,C,不轻信,不随意转账,电脑手机上收到的信息都是权威的，按照上面说的做,遇到事情多核实,
关于银行个人存款账户实名制，以下哪种证件能做为实名身份证件？,金融基础知识,易,关于银行个人存款账户实名制，实名身份证件包括身份证、护照、户口簿等。,C,学生证,工作证,身份证,驾照,
国家保护消费者的（ ）不受侵害。,金融消费者八项权益,易,国家保护消费者的合法权益不受侵害。,A,合法权益,消费义务,消费责任,消费目标,
国家反诈骗中心电话是（）,金融消费者八项权益,易,96110,D,95599,120,119,96110,
"孩子班级群里有家长发了个二维码， 并通知家长扫描付款，用于购买孩子的学习资料,正确做法是（）",金融基础知识,易,通过电话或微信向老师核实,C,直接扫码支付,等其他家长扫码支付了再支付,通过电话或微信向老师核实,,
韩某在网站找兼职时，看到一则信息，说是给某网站刷信誉可以赚钱，韩某下列哪项行为正确（）。,反诈防骗,易,刷信誉的行为是不正确的，往往是骗局，应杜绝帮助别人刷信誉的做法。,C,既可以赚钱，又很轻松，帮其刷其信誉,"要求对方先打款才能帮其刷信誉
",不帮对方刷信誉，因为刷信誉的行为是不正确的，往往是骗局,先看一下别人能不能赚到钱再做决定,
急需用钱时，可以多办几张信用卡套现，以卡还卡。,金融基础知识,易,信用卡套现违法,C,可以,一般情况不可以，急需用钱的时候可以,不可以,,
加强消费者权益保护体制机制建设，提升公司消费者权益保护工作水平，是金融保险机构实施（ ）战略的重要工作之一。,金融基础知识,易,为贯彻落实党的二十大精神，深入体现以人民为中心的发展思想，加强现代金融监管体系，进一步完善银行业保险业行为监管制度，提升消费者权益保护体制机制建设水平，银保监会制定出台《银行保险机构消费者权益保护管理办法》。银行保险机构应当将消费者权益保护纳入公司治理、企业文化建设和经营发展战略，建立健全消费者权益保护体制机制，将消费者权益保护要求贯穿业务流程各环节。加强消费者权益保护体制机制建设，提升公司消费者权益保护工作水平，是金融保险机构实施以客户为中心战略的重要工作之一。,B,客户至上,以客户为中心,以客户为基础,全面服务客户,
假如您的手机丢了，第一时间您会想到什么？〔  〕,反诈防骗,易,第一时间采取有效措施,C,真是太倒霉了，明天补卡换新手机,先通过客服挂失手机号,挂失手机号并且冻结手机网银，解绑与手机号绑定的支付宝、微信等支付方式,,
假如有陌生人加您微信好友，您会怎么办？〔  〕,反诈防骗,易,不轻信，不汇款、不透漏、不扫码、不点击链接、不接听转接电话。,C,都加为好友,陌生人一律不加,问清是谁再加为好友,,
假如有朋友跟您借钱，您会不会借？〔〕,反诈防骗,易,不要盲目轻信，要多作调查印证。,C,只要是朋友用QQ或微信发来的，都会帮助,根本不借,必须当面确认或者多渠道核实身份才借,,
假如在交友网站上认识的人骗了您钱，您会怎么办？〔〕,金融基础知识,易,在遭遇电信网络诈骗后，应尽快拨打110或者到最近的公安机关报案,C,气愤的将该人的QQ号、手机号码全部删除,非常着急，通过各种渠道寻找该人，试图找回被骗钱款,拨打110报警，并提供详细联络方式,,
"接到银行工作人员电话，说你银行卡欠费，解释半天，对方帮你转接公安局,警官称你可能身份证被冒用,涉嫌犯罪,给你发送“资金验证系统”链接,让你填写银行卡信息，帮你查银行账户流水，你该怎么办?",反诈防骗,易,诈骗分子套路多，金融消费者需提高警惕，谨防诈骗。,B,自己没做过，查一查也好,不轻易相信，自己到银行询问,添加对方好友，点开链接，配合调查,,
接到自称快递员的来电，对方准确说出了你的身份信息和家庭地址，称把你的快递弄丢了，要全额退款，发送退款链接让你填写银行卡信息，称填完后退款将直接退到银行卡，此时你该怎么做?,反诈防骗,易,诈骗分子套路多，金融消费者需提高警惕，谨防诈骗。,C,点击链接，按要求输入银行卡、退款验证码,对方能说出我的信息，肯定是快递员，和他交涉让他多赔点,挂断电话，直接与商家核对物流信息,,
"接到自称民警的来电，说你涉嫌犯罪，让你加好友,把通缉令发给你看，你该怎么办?",反诈防骗,易,诈骗分子套路多，金融消费者需提高警惕，谨防诈骗。,C,不相信，加好友看看是不是真的有通缉令,相信民警，一 一照办,自己没做过，去警局核实,,
接到自称是“公检法”工作人员电话，要在电话里进行笔录，并核查你名下的所有资金，你会怎么做？,反诈防骗,易,个人信息不透露给他人,C,根据电话中工作人员要求予以配合,将自己的个人信息全部提供给对方,不接受所谓的电话笔录，并马上拨打110电话报警,听从指挥进行相应的账户操作,
金融机构对先前获得的客户身份资料的(      )有疑问的，应当重新识别客户身份。,金融基础知识,易,金融机构对先前获得的客户身份资料的真实性、有效性、完整性有疑问的，应当重新识别客户身份。,D,真实性,有效性,完整性,以上都是,
金融机构将销售、服务环节的服务承诺进行公示体现了对消费者的(      )。,金融消费者八项权益,易,金融机构将销售、服务环节的服务承诺进行公示体现了对消费者的知情权,A,知情权,依法求偿权,受教育权,公平交易权,
金融机构应如何保护消费者的个人信息？（ ）,个人信息保护,易,金融机构应妥善报管和保护消费者的个人信息。,B,出售给第三方,妥善保管和保护,公开发布,不处理个人信息,
金融机构应如何处理消费者投诉？（ ）,金融基础知识,易,金融机构应及时回应和解决消费者投诉。,B,忽视投诉,及时回应和解决,转移责任给其他机构,不接受投诉,
金融机构在处理个人信息时，以下哪项措施是错误的？,个人信息保护,易,不得公开所有客户的个人信息,C,采用匿名化处理,定期进行安全审计,公开所有客户的个人信息,限制数据的二次使用,
金融机构在收集和使用个人金融信息时，应遵循什么原则？,个人信息保护,易,金融机构在收集和使用个人金融信息时，应遵循合法、正当、必要原则。这意味着金融机构只能在法律允许的范围内，基于合理的业务需求，收集和使用必要的个人金融信息。,B,随意使用原则,合法、正当、必要原则,不告知原则,无限期保存原则,
金融机构在销售保险产品时，以下哪种行为是违法的？,金融基础知识,易,隐瞒产品的风险和费用是违反消费者权益保护法的行为。,B,准确告知消费者产品的保险责任和除外责任,隐瞒产品的风险和费用,提供详细的产品说明书,尊重消费者的选择权,
金融机构主要分为（  ）两大类。,金融基础知识,易,金融机构分类,A,银行与非银行金融机构,银行与证券机构,银行与保险机构,中央银行与商业银行,
金融纠纷解决的方式不包括哪一种？,多元纠纷机制,易,金融纠纷解决的方式包括协商和解、调解或仲裁、诉讼等。暴力冲突不是解决金融纠纷的合法或合理方式，因此不属于金融纠纷解决的方式。,B,协商和解,暴力冲突,调解或仲裁,诉讼,
金融消费者八项权益中的“知情权”是指：,金融消费者八项权益,易,知情权要求金融机构应当以通俗易懂的语言，向消费者披露可能影响其决策的信息，充分提示风险，不得发布夸大产品收益、掩饰产品风险等欺诈信息，不得作虚假或引人误解的宣传。,A,消费者有权了解产品信息,消费者有权获得赔偿,消费者有权选择定价,消费者有权参与市场监督,
金融消费者的受教育权包括以下哪些方面？,金融消费者八项权益,易,金融消费者的受教育权包括：获取金融知识的权利、接受金融教育的权利、提高金融素养的权利,D,获取金融知识的权利,接受金融教育的权利,提高金融素养的权利,以上都是,
金融消费者合法权益受到侵害时，可以拨打银行保险消费者投诉维权热线，电话号码是：,综合类,易,12378银行保险消费者投诉维权热线是中国银行保险监督管理委员会建立的统一维权服务专线,A,12378,12123,12315,12358,
金融消费者是指（   ）金融机构提供的金融产品和服务的自然人。,金融基础知识,易,金融消费者是指购买和使用金融机构提供的金融产品和服务的自然人。,D,购买,使用,咨询,购买或使用,
金融消费者在购买、使用金融产品和接受金融服务时，享有生命健康和财产不受威胁、侵害的权利。”此定义描述的是以下哪项权利？(  ),金融消费者八项权益,易,安全权是指金融消费者在购买、使用金融产品和接受金融服务时，享有生命健康和财产不受威胁、侵害的权利,A,安全权,财产权,生命健康权,公平交易权,
金融消费者在购买金融产品时，应当如何保护自己的权益？,适当性原则,易,金融消费者在购买金融产品时，应当了解产品特点、评估风险后再做决定。这意味着金融消费者应当对自己的投资行为负责，了解所购买产品的风险，并根据自身的风险承受能力做出决策，而不是盲目相信金融机构的推荐或忽略风险说明。,C,完全相信金融机构的推荐,忽略金融产品的风险说明,了解产品特点、评估风险后再做决定,随意选择高风险的金融产品以追求高收益,
金融许可证应当在__的显著位置公示。,金融基础知识,易,根据《金融许可证管理办法》，金融许可证应当在机构营业场所的显著位置公示,B,办公场所,机构营业场所,内部科室,领导办公室,
近年来出现了多起因非法校园贷，电信诈骗等致使大学生自杀或猝死的现象，引发社会极大关注，一定程度上反映了大学生在遭遇挫折后心理承受能力，那么当大学生遭受挫折陷入困境时，如何正确调整心态，勇敢面对（）,反诈防骗,易,无,D,正确认识挫折，坦然面对，并树立起战胜挫折的信心,客观分析挫折原因，不自怨自艾，积极寻找解决办法,合理运用心理防卫机制，及时并适度的宣泄，缓解心理压力,以上都对,
经营者不得对消费者进行侮辱、诽谤，不得搜查(  )不得侵犯消费者的人身自由,金融消费者八项权益,易,经营者不得对消费者进行侮辱、诽谤，不得搜查消费者的身体及其携带的物品，不得侵犯消费者的人身自由。这是受尊重权的要求。,D,消费者,消费者的身体,消费者携带的物品,消费者的身体及其携带的物品,
经营者提供商品或服务，应向消费者出具购货凭证或服务单据；消费者索要购货凭证或服务单据的，经营者(  )出具,综合类,易,经营者提供商品或服务，应向消费者出具购货凭证或服务单据；消费者索要购货凭证或服务单据的，经营者必须出具,A,必须,一定,可以,视具体情况,
"李某收到短信:“你的淘宝信誉良好,邀请加入刷单,待遇丰厚，联系加***.”他应该怎么做?",反诈防骗,易,诈骗分子套路多，金融消费者需提高警惕，谨防诈骗。,B,打电话给发消息的人，问问清楚,不理睬，直接删除,加好友，参与刷单,,
理财应具备几项基本原则，下列说法不正确的是,金融基础知识,易,理财不应追求高收益低风险,A,高收益低风险,量入为出，量力而行,做足功课，不盲目投资,控制收益预期，不可盲目轻信高收益,
冒充公检法诈骗的手法通常为？(),反诈防骗,易,金融诈骗,B,要事主去自首,要事主把钱打进安全账户,上门拜访事主,,
某保险公司在微信公众号发布季度理赔报告时，引用了一位客户的案例，未将理赔凭证上的客户信息进行处理，造成客户隐私泄露。该行为主要侵害了金融消费者八大权益的（）。,金融消费者八项权益,易,某保险公司在微信公众号发布季度理赔报告时，引用了一位客户的案例，未将理赔凭证上的客户信息进行处理，造成客户隐私泄露。该行为主要侵害了金融消费者八大权益的信息安全权。,D,财产安全权,知情权,受尊重权,信息安全权,
某金融机构将其客户信息泄露至第三方合作机构，以牟取不法收益，侵犯了金融消费者的(  ),金融消费者八项权益,易,泄露客户信息属于侵害金融消费者信息安全权,A,信息安全权,依法求偿权,公平交易权,知情权,
某金融机构员工拿着单位系统提取客户清单明细进行网络售卖，导致客户投诉，以上现象是违反了金融消费者哪项权益？（）,金融消费者八项权益,易,金融消费者享有信息安全权：金融消费者在购买金融产品和使用金融服务时，享有个人金融信息安全得到保障、不被泄露的权利。金融机构应当采取有效措施保障金融消费者信息安全。,C,依法求偿权,受尊重权,信息安全权,受教育权,
某日，您手机收到了一条告知您的网银需要晋级的短信，您会怎么办？〔 〕,反诈防骗,易,不要盲目轻信，要多作调查印证。,C,确保平安，马上按照短信要求进展晋级,疑心是诈骗短信，但还是短信中的的链接看一看,先拨打银行官方进展核实理解，看是否真的需要晋级,,
某同学收到短信，说他的账户涉及洗钱，需要冻结其银行账户，现要求其配合调查，并将银行卡里的钱打入指定账户，等调查结束后返还，此时该同学需要做什么？,金融基础知识,易,如遭遇诈骗可打110或辖区派出所电话报警求助,D,打电话联系对方,将钱打入指定账户,配合对方调查,打110或辖区派出所电话报警求助,
某同学收到陌生电话，称有高回报理财，当去银行汇款时，银行工作人员担心其上当受骗劝阻其汇款，此时该同学应该怎么办？,金融基础知识,易,与公安机关联动劝导,D,投诉该银行工作人员,换一家银行汇款,强迫银行工作人员汇款,与公安机关联系，确认是否存在诈骗嫌疑,
某同学网恋被骗1万元，他应该怎么办？,金融基础知识,易,打电话报警，并主动提供相关线索,D,要求对方还钱,删除对方所有联系方式,到女子所在地要求对方还钱,打电话报警，并主动提供相关线索,
某同学充值游戏会员，下列正确的是,金融基础知识,易,官方平台具有保障,B,网上找人低价充值,官方平台充值,找游戏玩家充值,,
某同学在网上购物后，接到自称客服的电话，称其错误操作，将其列为代理，扣了其500元会员费，该同学应该怎么办？,金融基础知识,易,联系正规客服寻求帮助，必要时报警,D,打电话与对方争吵，要求退款,按对方提示方式退款,将对方拉黑,联系正规客服寻求帮助，必要时报警,
某同学在网上看到一则消息，给某网站刷单可以赚钱，下列哪项行为正确？,金融基础知识,易,不帮对方刷单，因为刷单行为不正确，往往是骗局,C,既可以赚钱，又轻松，帮其刷单,要求对方先打款再帮其刷单,不帮对方刷单，因为刷单行为不正确，往往是骗局,,
挪用、占用客户资金，这属于侵害消费者的（  ）。,金融消费者八项权益,易,挪用、占用客户资金，这属于侵害消费者的财产安全权。,C,信息安全权,公平交易权,财产安全权,依法求偿权,
朋友打电话给小张，要求小张将信用卡给他使用一段时间，顺便帮其提升额度，小张正确的处理方式是？,金融基础知识,易,不可以，信用卡不可出借他人使用,B,立即�o，还可以提升额度,不可以，信用卡不可出借他人使用,,,
人民币的简写符号是（  ）。,金融基础知识,易,人民币的简写符号是￥。,C,＄,￡,￥,�,
人身保险是以人的寿命和（  ）为保险标的的保险。,金融基础知识,易,无,C,收入,财产,身体,荣誉,
如果接到陌生电话声称自己是电商平台的售后客服，以快递丢失为由让你提供验证码、身份证等信息，你会怎么做？,反诈防骗,易,防范诈骗,C,按照客服要求去做,给身份证信息但是不给验证码,提高警觉，挂断电话,与客服聊天觉得没问题后告诉其验证码和身份证信息,
如果你接到了一个陌生电话，对方声称是你的老师，需要你转账缴纳学费，你应该怎么做？,反诈防骗,易,无法核实对方的身份，最好的方式是联系学校或者老师再次核实,B,立即转账,与老师或学校进行核实,挂断电话,以上都是,
如果你收到了一条陌生短信，声称你的银行账户存在异常，需要你点击链接进行验证，你应该怎么做？,反诈防骗,易,无法核实对方的身份，最好的方式是拨打银行机构的官方客服电话进行核实,B,点击链接进行验证,拨打银行官方客服电话进行核实,直接删除短信,以上都是,
