题目：,考核点（请填报统一考核点内容）：,难度：,试题解析：（请填报题目涉及的制度原文+制度名称及第x条）,正确答案,答案A,答案B,答案C,答案D,答案E,答案F,,,,
金融机构履行金融消费者投诉处理主体责任，在机构内部建立多层级投诉处理机制，完善投诉处理程序，建立投诉办理情况查询系统，提高金融消费者投诉处理质量和效率，接受社会监督。属于保障金融消费者的（        ）。,金融消费者八项权益,易,"“保障金融消费者依法求偿权。金融机构应当切实履行金融消费者投诉处理主体责任，在机构内部建立多层级投诉处理机制，完善投诉处理程序，建立投诉办理情况查询系统，提高金融消费者投诉处理质量和效率，接受社会监督。”
——《国务院办公厅关于加强金融消费者权益保护工作的指导意见》三、（七）",B,受教育权,依法求偿权,受尊重权,财产安全权,,,,,,
金融机构在格式合同中加重金融消费者责任、限制或者排除金融消费者合法权利，限制金融消费者寻求法律救济途径，减轻、免除本机构损害金融消费者合法权益应当承担的民事责任。这属于侵害金融消费者的（        ）。,金融消费者八项权益,易,"“保障金融消费者公平交易权。金融机构不得设置违反公平原则的交易条件，在格式合同中不得加重金融消费者责任、限制或者排除金融消费者合法权利，不得限制金融消费者寻求法律救济途径，不得减轻、免除本机构损害金融消费者合法权益应当承担的民事责任。”
——《国务院办公厅关于加强金融消费者权益保护工作的指导意见》三、（六）",D,受教育权,依法求偿权,受尊重权,公平交易权,,,,,,
金融机构在法律法规和监管规定允许范围内，充分尊重金融消费者意愿，由消费者自主选择、自行决定是否购买金融产品或接受金融服务。属于保障金融消费者的（        ）。,金融消费者八项权益,易,"“保障金融消费者自主选择权。金融机构应当在法律法规和监管规定允许范围内，充分尊重金融消费者意愿，由消费者自主选择、自行决定是否购买金融产品或接受金融服务，不得强买强卖，不得违背金融消费者意愿搭售产品和服务，不得附加其他不合理条件，不得采用引人误解的手段诱使金融消费者购买其他产品。”
——《国务院办公厅关于加强金融消费者权益保护工作的指导意见》三、（五）",C,信息安全权,财产安全权,自主选择权,公平交易权,,,,,,
金融机构以通俗易懂的语言，及时、真实、准确、全面地向金融消费者披露可能影响其决策的信息，充分提示风险。属于保障金融消费者的（        ）。,金融消费者八项权益,易,"“保障金融消费者知情权。金融机构应当以通俗易懂的语言，及时、真实、准确、全面地向金融消费者披露可能影响其决策的信息，充分提示风险，不得发布夸大产品收益、掩饰产品风险等欺诈信息，不得作虚假或引人误解的宣传。”
——《国务院办公厅关于加强金融消费者权益保护工作的指导意见》三、（四）",B,信息安全权,知情权,自主选择权,财产安全权,,,,,,
金融机构审慎经营，采取严格的内控措施和科学的技术监控手段，严格区分机构自身资产与客户资产，不挪用、占用客户资金。属于保障金融消费者的（        ）。,金融消费者八项权益,易,"“保障金融消费者财产安全权。金融机构应当依法保障金融消费者在购买金融产品和接受金融服务过程中的财产安全。金融机构应当审慎经营，采取严格的内控措施和科学的技术监控手段，严格区分机构自身资产与客户资产，不得挪用、占用客户资金。”
——《国务院办公厅关于加强金融消费者权益保护工作的指导意见》三、（三）",D,受教育权,依法求偿权,受尊重权,财产安全权,,,,,,
根据《保险销售行为管理办法》，以下哪类机构或个人不得从事保险销售行为？（????）,综合类,易,"“除下列机构和人员外，其他机构和个人不得从事保险销售行为：
（一）保险公司和保险中介机构；
（二）保险销售人员。
保险公司、保险中介机构应当为其所属的保险销售人员办理执业登记。”
——《保险销售行为管理办法》第三条",C,保险公司,保险销售人员,再保险公司,保险中介机构,,,,,,
《存款保险条例》规定，存款保险实行限额偿付，最高偿付限额为人民币（ ）万元。,金融基础知识,易,"“存款保险实行限额偿付，最高偿付限额为人民币50万元。”
——《存款保险条例》第五条",B,20万元,50万元,100万元,200万元,,,,,,
根据《银行业保险业消费投诉处理管理办法》，对于事实清楚、争议情况简单的消费投诉，银行保险机构应当自收到消费投诉之日起（ ）日内作出处理决定并告知投诉人。,综合类,易,"“对于事实清楚、争议情况简单的消费投诉，应当自收到消费投诉之日起15日内作出处理决定并告知投诉人，情况复杂的可以延长至30日。”
——《银行业保险业消费投诉处理管理办法》第十八条",C,7日,10日,15日,30日,,,,,,
遇到“冒充公检法”要求转账到“安全账户”的电话，正确的做法,反诈防骗,易,“冒充公检法”是典型电信网络诈骗手段，正常情况下，公检法机不会通过电话要求转账。,B,立即按对方要求转账,先挂断电话，拨打官方客服或110核,把验证码发给对方,把银行卡密码告诉对方,,,,,,
以下哪种行为不属于非法集资的常见特征？,非法集资,易,A、B、D均为非法集资典型特征。,C,承诺高额固定回报,向社会不特定对象募资,办理正规金融监管备案,以虚假项目为幌子,,,,,,
金融机构在向客户销售产品前，需根据客户的风险承受能力推荐匹配产品，这体现了（）的要求。,适当性管理,易,适当性管理的核心是“卖者有责、买者自负”，要求金融机构做到产品与客户风险承受能力相匹配。,A,适当性管理,个人信息保护,非法集资, 反诈防骗,,,,,,
个人身份证号、银行卡号、支付密码等信息属于（），受法律严格保护。,个人信息保护,易,个人敏感信息是指一旦泄露、非法提供或滥用可能危害人身和财产安全，极易导致个人名誉、身心健康受到损害的信息，身份证号、银行卡密码等均在此列。,B,公开信息,个人敏感信息,金融机构内部信息,无关信息,,,,,,
某公司以“投资虚拟货币，保本高收益”为噱头募资，该行为可能涉嫌（）。,非法集资,易,虚拟货币并非法定货币，相关募资活动未经监管批准，承诺保本高收益属于非法集资特征。,B,合法理财,非法集资,正常保险销售,银行存款业务,,,,,,
金融机构向客户销售高风险理财产品时，客户应当（）。,综合类,易,销售高风险产品需充分揭示风险，由客户亲自签署风险揭示书，明确知悉风险。,B,隐瞒风险，只强调收益,要求客户签署风险揭示书,替客户代签相关文件,向所有客户统一推荐,,,,,,
以下哪种个人信息泄露途径最常见？,个人信息保护,易,公共WiFi存在安全隐患，可能被黑客窃取传输的个人信息和支付密码；A、C、D均为信息保护的正确做法。,B,向正规金融机构提供信息,在公共WiFi环境下输入支付密码,妥善保管身份证复印件,定期更换银行卡密码,,,,,,
面对“刷单返利”的网络邀请，正确的做法是（）。,反诈防骗,易,“刷单返利”是典型的电信诈骗手段，前期小额返利是诱饵，后期会以各种理由要求用户投入资金并拒绝返还。,C,小额尝试，获取返利后加大投入,立即参与，邀请亲友一起做,拒绝邀请，识破其诈骗本质,向平台举报后，自己偷偷做,,,,,,
"接到自称""公安机关""的电话，称您涉嫌洗钱犯罪，需将资金转入""安全账户""配合调查，正确的应对方式是？",反诈防骗,易,"公安机关不会通过电话要求转账至""安全账户""，此为典型冒充公检法诈骗。A项直接转账会导致资金损失；C项泄露个人敏感信息可能被进一步利用；D项下载不明APP可能植入木马病毒。正确做法是挂断后通过官方渠道核实，如拨打110或辖区派出所电话。",B,立即按要求转账到指定账户证明清白,挂断电话后拨打110或当地派出所电话核实,提供身份证号和银行卡信息自证清白,"下载对方发送的""案件调查APP""配合操作",,,,,,
人身保险的受益人由谁指定（）,金融基础知识,易,"“人身保险的受益人由被保险人或者投保人指定。投保人指定受益人时须经被保险人同意。投保人为与其有劳动关系的劳动者投保人身保险，不得指定被保险人及其近亲属以外的人为受益人。被保险人为无民事行为能力人或者限制民事行为能力人的，可以由其监护人指定受益人。”
《中华人民共和国保险法》第三十九条",B,保险人,投保人或被保险人 ,保险经纪人,保险代理人,,,,,,
金融机构向金融消费者提供金融产品或服务时，应遵循（）原则，不得设置违反公平原则的交易条件。,综合类,易,"“（基本原则） 规定： “银行、支付机构向金融消费者提供金融产品或者服务，应当遵循自愿、平等、公平、诚实信用的原则，切实承担金融消费者合法权益保护的主体责任，履行金融消费者权益保护的法定义务。”
——《中国人民银行金融消费者权益保护实施办法》（中国人民银行令〔2020〕第5号） 第三条",A,自愿、平等、公平、诚实信用,收益最大化,风险自担,机构优先,,,,,,
“双录”制度是指金融机构在销售理财、保险等关键产品时，必须实施（ ）,综合类,易,原银保监会《银行业金融机构销售专区录音录像管理暂行规定》第二条：“本办法所称销售专区录音录像（简称专区‘双录’），是指银行业金融机构在营业场所销售自身依法发行的理财产品及合作机构依法发行的金融产品，应实施专区‘双录’管理，即设立销售专区，并在销售专区内装配电子系统，对每笔产品销售过程同步录音录像。”《关于落实〈保险销售行为管理办法〉有关事项的通知》等文件对保险销售也有“双录”要求。,A,录音和录像     ,录音和记录 ,登记和备案,评估和确认,,,,,,
下列哪类产品不得向风险承受能力最低类别的投资者销售？（ ）,适当性管理,易,依据：《证券期货投资者适当性管理办法》第十九条：“经营机构告知投资者不适合购买相关产品或者接受相关服务后，投资者主动要求购买风险等级高于其风险承受能力的产品或者接受相关服务的，经营机构在确认其不属于风险承受能力最低类别的投资者后，应当就产品或者服务风险高于其承受能力进行特别的书面风险警示……投资者仍坚持购买的，可以向其销售相关产品或者提供相关服务。但风险承受能力最低类别的投资者除外。” 私募股权基金属于高风险产品，不得向最低风险承受能力者销售。,D,国债,货币市场基金,结构性存款,私募股权基金,,,,,,
保险销售中，保险人必须对保险合同中的（ ）条款向投保人进行明确说明，否则该条款可能不产生效力。,综合类,易, 依据：《中华人民共和国保险法》第十七条第二款：“对保险合同中免除保险人责任的条款，保险人在订立合同时应当在投保单、保险单或者其他保险凭证上作出足以引起投保人注意的提示，并对该条款的内容以书面或者口头形式向投保人作出明确说明；未作提示或者明确说明的，该条款不产生效力。”,B,所有条款,责任免除条款,投保人信息条款,公司介绍条款,,,,,,
保险公司处理投诉应建立的渠道包括？,综合类,易,“积极化解矛盾纠纷。各保险公司、各保险专业中介机构要建立“信、访、电、网”等多样化的投诉渠道，通过营业场所、官方网站等渠道公示投诉电话、投诉办理流程和办理时限等，并在承保时告知消费者。健全保险纠纷协商和解机制，与消费者及时沟通，将纠纷化解在公司层面，化解在初始阶段。积极参加保险纠纷调解机制，保障和鼓励分支机构通过调解解决保险纠纷。定期汇总分析投诉数据，发现当前服务中存在的短板和问题，并及时整改。落实责任追究，对投诉处理不到位造成矛盾升级或多次投诉的，严肃追究相关人员责任。”——《中国银保监会关于切实加强和改进保险服务的通知》第四点,A,信、访、电、网,仅电话和邮件,仅线上平台,仅营业网点,,,,,,
?根据通知要求，保险公司在销售保险产品时，应如何确保宣传内容的准确性？,综合类,易,“严格规范保险销售行为。各保险公司、各保险中介机构要强化销售宣传内容管理，防止片面不实宣传。保险销售宣传内容要与保险合同条款保持一致，不得错误解读监管政策，不得使用或者变相使用监管机构及其工作人员的名义或者形象作商业宣传。保险产品在宣传时应当与其他性质、类别的金融产品区分展示，并标明其保险性质。严格管控本公司及所属保险从业人员的自媒体保险营销宣传行为，杜绝出现违法违规和不当宣传。要用通俗清晰的语言，准确、全面地向消费者说明保险产品和服务，重点突出承保公司、产品类别、保障范围、保险期限、保险金额、保险费用、免除保险人责任条款等可能影响其决策的信息。不得夸大产品功能，不得虚假承诺，不得诱导误导消费者。严格执行销售行为可回溯制度，切实落实“销售行为可回放、重要信息可查询、问题责任可确认”的监管要求。”——《中国银保监会关于切实加强和改进保险服务的通知》第一点,C,"使用监管机构及其工作人员的名义作宣传
",使用夸张的语言吸引消费者,"与保险合同条款保持一致，不得错误解读监管政策

",不需要标明保险产品的性质,,,,,,
"在互联网保险业务管理中，保险公司应如何确保销售服务质量？
",综合类,易,“大力加强互联网保险业务管理。各保险公司、各保险中介机构要加强互联网保险业务管理，规范服务行为，提高服务质量。宣传销售页面要用简单、准确的语言描述产品的主要功能和特点，突出说明容易引发歧义或消费者容易忽视的内容，禁止使用误导性的词语。互联网保险销售要充分考虑售后服务配套能力，保证互联网保险消费者享有不低于其他业务渠道的保险服务。不得违规捆绑销售，不得使用强制勾选、默认勾选等方式销售保险。明示线上客户服务、投诉电话等消费维权途径，建立与消费者的线上线下沟通协商机制，确保双方信息沟通顺畅。严格防控消费者信息泄露风险，保障消费者隐私权、信息安全权。加强对所委托第三方网络平台的管控，对违反保险监管规定且不改正的第三方网络平台，终止与其合作。”——《中国银保监会关于切实加强和改进保险服务的通知》第三条,A,禁止使用误导性的词语,违规捆绑销售, 使用强制勾选、默认勾选销售保险, 不提供线上客户服务电话,,,,,,
金融机构对老年消费者提供的服务要求不包括？,综合类,易,《金融消费者权益保护实施办法》要求金融机构为老年消费者提供便利服务，禁止强制交易行为。,D,放大字体合同,全程录音录像,简化智能设备操作,强制购买保险,,,,,,
金融机构开展营销宣传时，禁止使用的表述是？,综合类,易,《金融消费者权益保护实施办法》禁止使用“历史最高回报”等误导性宣传用语。,B,“稳健收益”,“历史最高回报”,“风险可控”,“灵活申赎”,,,,,,
金融机构向消费者提供服务的合同文本应当以哪种语言书写？,综合类,易,《金融消费者权益保护实施办法》要求合同文本必须使用中文，涉外业务可提供翻译版本。,A,中文,中英文对照,消费者母语,任意语言,,,,,,
金融机构对消费者风险承受能力评估的有效期是？,综合类,易,《金融消费者权益保护实施办法》规定，风险承受能力评估结果有效期为1年，超期需重新评估。,B,半年,1年,2年,长期有效,,,,,,
金融机构对消费者投诉的受理方式不包括？,综合类,易,《金融消费者权益保护实施办法》要求金融机构提供多种投诉渠道，但需消费者实名提交诉求。,C,电话,信函,匿名投诉,网络平台,,,,,,
金融机构对残障消费者需提供的便利服务是？,综合类,易,《金融消费者权益保护实施办法》要求为残障消费者提供手语、盲文等无障碍服务。,D,拒绝提供服务,限制业务种类,收取额外服务费,手语或盲文支持,,,,,,
经营者造成消费者人身伤害时，无需赔偿以下哪项费用？,综合类,易,"“《中华人民共和国消费者权益保护法》第四十一条规定，经营者提供商品或者服务，造成消费者或者其他受害人人身伤害的，应当支付医疗费、治疗期间的护理费、因误工减少的收入等费用，造成残疾的，还应当支付残疾者生活自助具费、生活补助费、残疾赔偿金以及由其扶养的人所必需的生活费等费用；构成犯罪的，依法追究刑事责任。”法律未规定经营者需赔偿精神损失费。
——《中华人民共和国消费者权益保护法》第四十一条",B,医疗费,精神损失费,因误工减少的收入,护理费,,,,,,
以下哪项不属于消费者依法享有的权利？,综合类,易,"“消费者享有自主选择商品或者服务的权利。
　　消费者有权自主选择提供商品或者服务的经营者，自主选择商品品种或者服务方式，自主决定购买或者不购买任何一种商品、接受或者不接受任何一项服务。
　　消费者在自主选择商品或者服务时，有权进行比较、鉴别和挑选。”——《中华人民共和国消费者权益保护法（2013修正）》第九条",C,公平交易权,自主选择权,强制购买权,知情权,,,,,,
经营者使用“最终解释权归本店所有”条款是否合法？,综合类,易,“国家制定有关消费者权益的法律、法规和政策时，应当听取消费者的意见和要求。”——《中华人民共和国消费者权益保护法（2013修正）》第二十六条规定，排除消费者权利的格式条款无效。,B,合法,不合法,部分合法,需消费者同意,,,,,,
经营者提供商品时，下列哪种行为侵犯消费者知情权？,综合类,易,"“消费者享有知悉其购买、使用的商品或者接受的服务的真实情况的权利。
　　消费者有权根据商品或者服务的不同情况，要求经营者提供商品的价格、产地、生产者、用途、性能、规格、等级、主要成份、生产日期、有效期限、检验合格证明、使用方法说明书、售后服务，或者服务的内容、规格、费用等有关情况。”——《中华人民共和国消费者权益保护法（2013修正）》第八条",A,未标注生产日期,未公开商品成本价,未提供发票,未赠送小礼品,,,,,,
经营者提供商品时，下列哪种行为不构成欺诈？,综合类,易,"“经营者应当标明其真实名称和标记。
　　租赁他人柜台或者场地的经营者，应当标明其真实名称和标记。”——《中华人民共和国消费者权益保护法（2013修正）》第二十条规定，标明“处理品”且无隐瞒的不构成欺诈。",C,更换商品生产日期,夸大广告效果,标明“处理品”低价出售,伪造质量认证标志,,,,,,
经营者使用“售出商品概不退换”条款是否合法？,综合类,易,“经营者提供商品或者服务，按照国家规定或者与消费者的约定，承担包修、包换、包退或者其他责任的，应当按照国家规定或者约定履行，不得故意拖延或者无理拒绝。”——《中华人民共和国消费者权益保护法》第二十三条,B,合法,不合法,部分合法,视商品类型而定,,,,,,
经营者通过格式条款排除消费者权利，该条款效力如何？,综合类,易,“经营者不得以格式合同、通知、声明、店堂告示等方式作出对消费者不公平、不合理的规定，或者减轻、免除其损害消费者合法权益应当承担的民事责任。”——《中华人民共和国消费者权益保护法（2013修正）》第二十四条,D,有效,需法院确认,部分有效,无效,,,,,,
经营者提供商品时，未明码标价的行为侵犯了消费者哪项权利？,综合类,易,"“消费者享有知悉其购买、使用的商品或者接受的服务的真实情况的权利。
　　消费者有权根据商品或者服务的不同情况，要求经营者提供商品的价格、产地、生产者、用途、性能、规格、等级、主要成份、生产日期、有效期限、检验合格证明、使用方法说明书、售后服务，或者服务的内容、规格、费用等有关情况。”——《中华人民共和国消费者权益保护法（2013修正）》第八条",B,公平交易权,知情权,自主选择权,监督权,,,,,,
以下哪项属于敏感个人信息？,个人信息保护,易,"“敏感个人信息是一旦泄露或者非法使用，容易导致自然人的人格尊严受到侵害或者人身、财产安全受到危害的个人信息，包括生物识别、宗教信仰、特定身份、医疗健康、金融账户、行踪轨迹等信息，以及不满十四周岁未成年人的个人信息。
只有在具有特定的目的和充分的必要性，并采取严格保护措施的情形下，个人信息处理者方可处理敏感个人信息。”——《中华人民共和国个人信息保护法》第二十八条",C,普通电话号码,匿名化处理后的消费记录,不满十四周岁未成年人的个人信息,公开的社交媒体昵称,,,,,,
商业银行办理个人储蓄存款业务的原则不包括？,综合类,易,"“商业银行办理个人储蓄存款业务，应当遵循存款自愿、取款自由、存款有息、为存款人保密的原则。
　　对个人储蓄存款，商业银行有权拒绝任何单位或者个人查询、冻结、扣划，但法律另有规定的除外。”
——《中华人民共和国商业银行法》第二十九条",D,存款自愿,取款自由,存款保密,强制存款,,,,,,
商业银行的营业时间是否需要公告？,综合类,易,“商业银行的营业时间应当方便客户，并予以公告。商业银行应当在公告的营业时间内营业，不得擅自停止营业或者缩短营业时间。”——《中华人民共和国商业银行法》第四十九条,D,无需公告,由客户自行查询,仅在调整时公告,必须公告,,,,,,
被保险人故意犯罪导致伤残，保险人的责任是？,综合类,易,根据《中华人民共和国保险法》第四十五条规定，被保险人故意犯罪导致伤残，保险人不承担责任且不退还保险费。因此，正确答案是B（不承担责任且不退还保险费）。,B,承担赔偿责任,不承担责任且不退还保险费,不承担责任但退还保险费,退还现金价值,,,,,,
银行业金融机构在营销产品和服务时应遵循什么原则？,综合类,易,“银行业金融机构应当尊重银行业消费者的知情权和自主选择权，履行告知义务，不得在营销产品和服务过程中以任何方式隐瞒风险、夸大收益，或者进行强制性交易。”——《中国银监会关于印发银行业消费者权益保护工作指引的通知》第九条,B,A. 隐瞒风险、夸大收益,B. 公平、公正、诚信,C. 强制性交易,D. 误导消费者,,,,,,
银行业金融机构在处理消费者投诉时应如何做？,综合类,易,“银行业金融机构应当完善银行业消费者投诉处置工作机制，在规定时限内调查核实并及时处理银行业消费者投诉。对于确实存在问题的银行业产品和服务，应当采取措施进行补救或纠正；造成损失的，可以通过和解、调解、仲裁、诉讼等方式，根据有关法律法规或合同约定向银行业消费者进行赔偿或补偿。”——《中国银监会关于印发银行业消费者权益保护工作指引的通知》第二十四条,B,A.忽视投诉,B. 规定时限内调查核实并及时处理,C. 推诿责任,D. 拒绝赔偿,,,,,,
根据《中华人民共和国人民币管理条例》，人民币的单位为：,综合类,易,人民币的单位为元，人民币辅币单位为角、分。——《中华人民共和国人民币管理条例》第四条,A,元,角,分,厘,,,,,,
办理人民币存取款业务的金融机构应当：,综合类,易,办理人民币存取款业务的金融机构应当按照中国人民银行的规定，无偿为公众兑换残缺、污损的人民币，挑剔残缺、污损的人民币，并将其交存当地中国人民银行。——《中华人民共和国人民币管理条例》第二十二条,B,有偿兑换残缺、污损的人民币,无偿兑换残缺、污损的人民币,拒绝兑换残缺、污损的人民币,收取一定费用后兑换残缺、污损的人民币,,,,,,
根据《机动车交通事故责任强制保险条例》，机动车交通事故责任强制保险的投保对象是：,综合类,易,在中华人民共和国境内道路上行驶的机动车的所有人或者管理人，应当依照《中华人民共和国道路交通安全法》的规定投保机动车交通事故责任强制保险。——《机动车交通事故责任强制保险条例》第二条,B,机动车驾驶人,机动车所有人或管理人,机动车销售商,机动车维修企业,,,,,,
机动车交通事故责任强制保险的保险期间为多少年？,综合类,易,机动车交通事故责任强制保险的保险期间为1年，但有下列情形之一的，投保人可以投保短期机动车交通事故责任强制保险。——《机动车交通事故责任强制保险条例》第二十条,A,1年,2年,3年,4年,,,,,,
机动车交通事故责任强制保险的保险标志：,综合类,易,保险标志式样全国统一。——《机动车交通事故责任强制保险条例》第十二条,B,可以自行设计,式样全国统一,只需在车内放置,由公安机关发放,,,,,,
根据《储蓄管理条例》，以下哪项属于储蓄的定义？,综合类,易,储蓄是指个人将属于其所有的人民币或者外币存入储蓄机构，储蓄机构开具存折或者存单作为凭证，个人凭存折或者存单可以支取存款本金和利息，储蓄机构依照规定支付存款本金和利息的活动。——《储蓄管理条例》第三条,B,单位将公款存入储蓄机构,个人将属于其所有的人民币或者外币存入储蓄机构,个人将工资存入单位账户, 个人将资金存入证券账户,,,,,,
根据《储蓄管理条例》，储蓄机构办理储蓄业务必须遵循的原则是：,综合类,易,储蓄机构办理储蓄业务，必须遵循“存款自愿，取款自由，存款有息，为储户保密”的原则。——《储蓄管理条例》第五条,A,存款自愿，取款自由，存款有息，为储户保密,存款强制，取款自由，存款无息，公开透明,存款自愿，取款限制，存款有息，公开透明,存款强制，取款限制，存款无息，为储户保密,,,,,,
根据《储蓄管理条例》，以下哪项属于储户的合法权益？,综合类,易,储户认为储蓄存款利息支付有错误时，有权向经办的储蓄机构申请复核。 ——《储蓄管理条例》第二十八条,C,储户可以随意查询其他储户的储蓄情况,储户可以要求储蓄机构代为查询、冻结或者划拨储蓄存款,储户认为储蓄存款利息支付有错误时，有权向经办的储蓄机构申请复核,储户可以将公款以个人名义转为储蓄存款,,,,,,
《银行业金融机构销售专区录音录像管理暂行规定》中“双录”是指什么？,综合类,易,《银行业金融机构销售专区录音录像管理暂行规定》第二条：销售专区录音录像（简称专区“双录”），是指银行业金融机构在营业场所销售自身依法发行的理财产品（以下简称自有理财产品）及合作机构依法发行的金融产品（以下简称代销产品），应实施专区“双录”管理，即设立销售专区，并在销售专区内装配电子系统，对每笔产品销售过程同步录音录像。,A,录音和录像,双人复核,双重保险,双重备份,,,,,,
自助终端购买产品时，销售人员是否可以代客操作？,综合类,易,《银行业金融机构销售专区录音录像管理暂行规定》第十一条：严禁销售人员在自助终端等电子设备上代客操作购买产品。,B,可以,不可以,视情况而定,仅限老年人,,,,,,
长期睡眠信用卡数量占本机构总发卡数量的比例在任何时点均不得超过多少？,综合类,易,依据《中国银保监会 中国人民银行关于进一步促进信用卡业务规范健康发展的通知》（银保监规〔2022〕13号）第二条第（六）款，强化睡眠信用卡动态监测管理，严格控制占比。连续18个月以上无客户主动交易且当前透支余额、溢缴款为零的长期睡眠信用卡数量占本机构总发卡数量的比例在任何时点均不得超过20%，政策法规要求银行业金融机构发行的附加政策功能的信用卡除外。,C,10%,15%,20%,25%,,,,,,
